user_id,income_regularity,spending_consistency,bill_payment_ratio,savings_rate,emi_burden_ratio,upi_activity_volume,rent_payment_regularity,cash_withdrawal_ratio,TARGET
USR_0001,0.0,0.2155,1.0,0.1105,0.1034,6.1429,0.6611,0.2695,0
USR_0002,0.1563,0.3071,0.8333,0.6566,0.068,5.5714,0.8728,0.0459,0
USR_0003,0.5554,0.5047,1.0,0.6112,0.0368,2.5,0.8461,0.2766,0
USR_0004,0.3788,0.7527,1.0,-0.0966,0.5046,7.8333,0.7234,0.0634,0
USR_0005,0.0,0.8331,0.625,-1.0,0.4361,7.3333,0.806,0.113,1
USR_0006,0.4564,0.4192,1.0,-0.2649,0.3141,5.0,0.5,0.0352,0
USR_0007,0.5599,0.5099,1.0,-1.0,0.2244,5.1667,0.7867,0.257,0
USR_0008,0.3789,0.2393,0.6,0.2726,0.2856,2.0,0.7457,0.1503,0
USR_0009,0.3384,0.4077,0.875,-0.0497,0.3473,4.8571,0.7507,0.2211,0
USR_0010,0.4083,0.7998,0.9375,0.1835,0.1611,8.3333,0.7595,0.0913,0
USR_0011,0.0,0.6354,0.8333,-0.3601,0.5129,4.8333,0.6512,0.0444,0
USR_0012,0.3794,0.3556,0.8571,-0.7368,0.5388,5.4286,0.6468,0.0332,1
USR_0013,0.4476,0.6689,0.9375,0.2817,0.2129,8.6667,0.7259,0.1526,0
USR_0014,0.7327,0.6545,1.0,-1.0,0.3746,8.6667,0.7744,0.2097,1
USR_0015,0.4393,0.465,0.9286,0.608,0.0695,4.5,0.8115,0.1981,0
USR_0016,0.0168,0.4324,0.6,0.3679,0.1232,7.0,0.8328,0.0797,0
USR_0017,0.6343,0.6311,0.7059,-0.3794,0.361,9.5,0.7125,0.1755,0
USR_0018,0.4226,0.5398,0.6667,-0.4091,0.4659,6.7143,0.7306,0.1082,1
USR_0019,0.0786,0.2819,1.0,0.1945,0.2604,4.1667,0.8079,0.0879,0
USR_0020,0.484,0.7759,0.8889,0.5408,0.1439,7.0,0.6697,0.0693,0
USR_0021,0.2046,0.6468,0.7,0.4134,0.283,8.3333,0.7825,0.0766,0
USR_0022,0.2083,0.4716,0.8333,-0.0596,0.4171,3.4286,0.6624,0.2135,0
USR_0023,0.1749,0.7736,0.8333,-0.657,0.1261,4.3333,0.6896,0.1363,0
USR_0024,0.5572,0.8308,0.7692,0.3434,0.4671,6.8333,0.8024,0.0181,0
USR_0025,0.0,0.3789,0.6667,-0.045,0.613,2.5,0.5,0.1743,1
USR_0026,0.0927,0.5831,1.0,0.0236,0.178,5.8571,0.7347,0.1505,0
USR_0027,0.182,0.8142,1.0,0.6097,0.1553,3.1667,0.8187,0.1231,0
USR_0028,0.3455,0.6337,0.8421,-0.9993,0.1651,9.6667,0.6892,0.293,1
USR_0029,0.4565,0.5288,0.7143,-0.8795,0.1795,8.5,0.7289,0.2221,1
USR_0030,0.2816,0.5962,1.0,0.0076,0.285,3.4286,0.7738,0.1044,0
USR_0031,0.2849,0.2846,1.0,0.1296,0.3537,7.0,0.7146,0.1185,0
USR_0032,0.2339,0.6126,1.0,-1.0,0.0597,4.6667,0.6926,0.1869,0
USR_0033,0.257,0.5916,1.0,-0.0406,0.6472,4.0,0.8848,0.0824,1
USR_0034,0.6747,0.7576,0.7692,-0.1325,0.1227,8.3333,0.6517,0.3142,0
USR_0035,0.6676,0.4976,1.0,-0.7888,0.0859,9.6667,0.7949,0.1836,0
USR_0036,0.4096,0.5221,0.8333,-0.9206,0.4306,7.2857,0.711,0.0948,0
USR_0037,0.3045,0.4161,1.0,-0.0578,0.4722,9.0,0.6661,0.0902,0
USR_0038,0.0,0.46,1.0,-0.6166,0.2328,3.8333,0.78,0.0681,0
USR_0039,0.0,0.4793,0.75,-0.7019,0.4944,3.8333,0.8814,0.0725,1
USR_0040,0.0,0.5275,0.5556,0.1718,0.2449,7.5,0.7008,0.0597,0
USR_0041,0.1356,0.6047,0.75,0.1167,0.2832,7.1667,0.7483,0.0717,0
USR_0042,0.3955,0.3865,1.0,-0.6317,0.4239,4.1667,0.6034,0.2941,1
USR_0043,0.072,0.7753,0.5833,0.1168,0.4016,5.8571,0.8001,0.0481,0
USR_0044,0.2051,0.508,0.9,-0.1394,0.1918,7.1667,0.7181,0.1142,0
USR_0045,0.3899,0.503,0.875,-0.1601,0.0795,7.7143,0.7356,0.262,0
USR_0046,0.6638,0.4521,0.8824,-0.0302,0.3227,4.2857,0.9077,0.0834,0
USR_0047,0.1143,0.5414,0.625,-0.3979,0.3498,6.1667,0.864,0.2049,0
USR_0048,0.0,0.5718,1.0,-0.439,0.5697,3.0,0.7219,0.1111,0
USR_0049,0.0,0.1706,1.0,0.4683,0.2383,3.0,0.9547,0.0831,0
USR_0050,0.0146,0.6692,0.875,0.0846,0.1959,4.3333,0.7757,0.2416,0
USR_0051,0.0968,0.6532,0.8333,0.0518,0.4697,8.8333,0.785,0.0447,0
USR_0052,0.7186,0.4069,1.0,-0.2801,0.5322,9.1429,0.8082,0.048,0
USR_0053,0.6047,0.5347,1.0,0.1071,0.5643,8.5,0.6812,0.0597,0
USR_0054,0.2771,0.4719,0.6667,0.3514,0.2366,6.0,0.7293,0.0737,0
USR_0055,0.1633,0.7644,1.0,-0.3912,0.2053,6.0,0.8093,0.1775,0
USR_0056,0.1992,0.5931,0.9167,-1.0,0.3233,3.5,0.7608,0.0778,1
USR_0057,0.6958,0.3951,0.6667,0.0848,0.2827,6.5,0.727,0.0946,0
USR_0058,0.6723,0.5694,1.0,-0.7107,0.2552,6.3333,0.8117,0.1688,0
USR_0059,0.3616,0.5076,0.8,0.5361,0.2278,5.4286,0.7325,0.0619,0
USR_0060,0.4654,0.3775,0.5,0.0838,0.0896,3.5,0.6726,0.2244,0
USR_0061,0.3494,0.3024,1.0,-0.7559,0.365,2.8333,0.5,0.2646,1
USR_0062,0.3868,0.6963,0.8333,0.419,0.1134,10.5,0.7495,0.18,0
USR_0063,0.6434,0.5962,0.625,0.635,0.0761,4.8333,0.9168,0.1358,0
USR_0064,0.4851,0.4275,0.9091,-0.1262,0.1967,7.8333,0.7676,0.3248,0
USR_0065,0.235,0.4974,0.75,-1.0,0.4686,5.6667,0.7,0.1529,1
USR_0066,0.0,0.2632,0.75,-0.2142,0.9997,2.3333,0.5,0.0502,1
USR_0067,0.0,0.5345,0.625,0.3411,0.3472,3.8333,0.7327,0.0118,0
USR_0068,0.308,0.7191,0.75,0.2653,0.0468,5.1667,0.7489,0.1958,0
USR_0069,0.66,0.662,0.7647,-0.0327,0.0921,9.3333,0.8495,0.1459,0
USR_0070,0.0018,0.1695,1.0,0.494,0.0294,4.1667,0.7324,0.0395,0
USR_0071,0.5276,0.3353,0.75,-1.0,1.0,3.0,0.9715,0.0922,1
USR_0072,0.497,0.6612,1.0,-0.5904,0.274,4.1667,0.9843,0.41,0
