user_id,income_regularity,spending_consistency,bill_payment_ratio,savings_rate,emi_burden_ratio,upi_activity_volume,rent_payment_regularity,cash_withdrawal_ratio,TARGET,age,monthly_income,cibil_score,employment_type,loan_type,existing_emi,account_age_months
USR_1861,0.0,0.3027,0.6667,-1.0,0.352,2.3333,0.7264,0.1605,1,22,14473,,gig_worker,xpress_power,4451.07,45
USR_0354,0.4416,0.2941,0.7,0.0011,0.6807,7.4286,0.7708,0.0237,0,56,181675,,self_employed,two_wheeler,114194.2,65
USR_1334,0.0,0.1473,1.0,-0.5957,0.1477,2.1429,0.6229,0.1357,0,52,46126,633.0,salaried,two_wheeler,5342.42,91
USR_0906,0.3048,0.5304,0.7143,0.1715,0.3979,9.1667,0.6689,0.0516,0,46,143921,,salaried,xpress_credit,94494.99,23
USR_1290,0.303,0.3437,0.8333,0.3213,0.5114,4.3333,0.5,0.0813,0,65,93672,,salaried,xpress_credit,62075.66,44
USR_1274,0.6346,0.7293,0.9231,-0.113,0.2325,7.5,0.7031,0.1481,0,32,16851,678.0,gig_worker,xpress_power,7103.77,19
USR_0939,0.4392,0.5718,1.0,-0.3215,0.3221,7.3333,0.676,0.0814,0,30,18391,,farmer,xpress_power,11298.18,93
USR_1732,0.2584,0.44,0.6667,-0.3098,0.2612,7.4286,0.6727,0.1702,0,34,28449,808.0,gig_worker,xpress_power,11298.98,89
USR_0066,0.0,0.2632,0.75,-0.2142,0.9997,2.3333,0.5,0.0502,1,46,69693,694.0,salaried,xpress_power,46395.44,89
USR_1324,0.6696,0.1953,1.0,0.1576,0.5029,2.3333,0.8187,0.0505,0,62,139501,829.0,salaried,xpress_power,76059.67,38
USR_0057,0.6958,0.3951,0.6667,0.0848,0.2827,6.5,0.727,0.0946,0,67,37350,639.0,self_employed,xpress_credit,10137.01,115
USR_1293,0.8633,0.7251,0.7857,0.1771,0.1051,9.5,0.6992,0.28,0,25,33563,,gig_worker,two_wheeler,6766.76,61
USR_1119,0.2668,0.658,0.75,-0.108,0.433,5.5,0.6858,0.1359,0,49,37732,,gig_worker,two_wheeler,14156.98,12
USR_0585,0.1442,0.6409,0.8333,0.5768,0.0403,5.6667,0.7154,0.1573,0,30,54553,812.0,salaried,two_wheeler,7407.07,119
USR_0375,0.4311,0.6597,0.9375,-0.4396,0.0842,8.3333,0.7773,0.2812,0,58,25079,,gig_worker,two_wheeler,1398.43,19
USR_0276,0.5943,0.6219,1.0,-1.0,0.0126,7.3333,0.7612,0.2729,1,38,3301,684.0,student,xpress_power,552.54,96
USR_0747,0.3278,0.765,1.0,-0.1601,0.2116,8.6667,0.8218,0.1143,0,38,24045,765.0,salaried,two_wheeler,7263.81,9
USR_0129,0.3753,0.6554,0.7143,-0.85,0.1047,5.8333,0.8087,0.2635,1,19,14485,,student,xpress_power,1693.85,8
USR_1647,0.2625,0.7479,0.8333,-0.4314,0.7237,8.8333,0.7715,0.0122,1,41,92911,,self_employed,two_wheeler,62413.9,76
USR_1853,0.4964,0.5245,0.625,0.3269,0.0657,11.0,0.8928,0.0455,0,35,41016,692.0,retired,xpress_power,3582.05,72
USR_0675,0.3296,0.7019,1.0,-0.2549,0.4881,8.3333,0.7258,0.0572,1,29,31932,679.0,salaried,xpress_power,15720.5,60
USR_1665,0.0,0.7306,0.75,0.3531,0.1861,4.0,0.8076,0.0512,0,62,33444,,gig_worker,two_wheeler,13493.62,99
USR_1982,0.2622,0.5162,1.0,-1.0,0.5446,5.7143,0.7632,0.1757,1,70,16974,823.0,gig_worker,two_wheeler,10476.59,96
USR_1084,0.0052,0.5319,1.0,-0.2502,0.2394,4.0,0.8347,0.1144,0,48,33341,776.0,self_employed,two_wheeler,12903.65,46
USR_1923,0.6295,0.5867,0.6429,0.0757,0.3073,10.0,0.7266,0.1187,0,70,35602,660.0,retired,xpress_power,23661.43,105
USR_0100,0.2095,0.3796,0.8,0.3869,0.1134,3.5,0.7941,0.0,0,21,91125,580.0,salaried,two_wheeler,28864.57,36
USR_1180,0.0,0.667,0.6,-0.8863,0.4273,6.0,0.7821,0.1985,1,24,18381,,self_employed,two_wheeler,11646.82,44
USR_0965,0.4318,0.3732,0.7,-1.0,1.0,5.0,0.8409,0.1098,1,46,22869,624.0,salaried,two_wheeler,12102.1,68
USR_0793,0.2227,0.6553,0.8571,-0.1126,0.502,8.5,0.6496,0.0549,0,21,121802,,salaried,two_wheeler,54490.81,17
USR_0030,0.2816,0.5962,1.0,0.0076,0.285,3.4286,0.7738,0.1044,0,26,22400,701.0,salaried,xpress_power,7009.64,33
USR_0629,0.2237,0.7288,0.8125,0.5505,0.2281,7.3333,0.6128,0.1096,0,62,128880,613.0,salaried,two_wheeler,44764.92,38
USR_0945,0.1135,0.3202,0.5,-0.005,0.6494,4.5,0.7389,0.0725,0,52,95990,611.0,self_employed,xpress_credit,51135.16,37
USR_0573,0.3182,0.2343,0.75,0.5842,0.0722,3.1667,0.6358,0.1167,0,33,29229,770.0,self_employed,xpress_credit,9027.32,98
USR_0908,0.2004,0.6662,0.6,0.5175,0.2498,6.2857,0.7329,0.0229,0,54,127174,751.0,self_employed,xpress_credit,58030.71,99
USR_1081,0.1559,0.3512,1.0,0.4908,0.345,3.6667,0.9244,0.0265,0,37,134217,719.0,salaried,xpress_credit,52651.55,80
USR_0451,0.0949,0.2878,1.0,-1.0,0.2245,2.7143,0.412,0.1022,1,20,10755,829.0,farmer,two_wheeler,5128.97,22
USR_1610,0.2689,0.5439,1.0,-0.2172,0.6928,5.0,0.7525,0.0421,0,34,72033,627.0,salaried,xpress_credit,43212.76,50
USR_1291,0.4883,0.5775,0.7273,-0.2625,0.1837,9.1667,0.7199,0.0818,0,29,25360,,salaried,xpress_credit,4170.66,72
USR_1079,0.5117,0.4178,0.75,-0.1917,0.0509,3.0,0.7944,0.2653,0,25,15432,638.0,salaried,two_wheeler,1416.11,1
USR_0255,0.0,0.545,0.7692,-0.2258,0.2247,7.5714,0.8142,0.0449,1,32,59936,,salaried,xpress_power,9922.29,16
USR_0125,0.2427,0.7778,0.7778,-0.7063,0.1291,8.5,0.6914,0.204,1,43,25350,,gig_worker,two_wheeler,3717.09,118
USR_1928,0.4358,0.7935,1.0,0.0974,0.033,8.1667,0.6781,0.1357,0,51,19073,757.0,salaried,xpress_power,1166.55,116
USR_0252,0.2531,0.6697,1.0,-0.1815,0.2372,7.5,0.7213,0.1826,0,25,27347,677.0,self_employed,two_wheeler,9055.24,13
USR_0586,0.4306,0.5096,0.8182,-1.0,0.3223,8.8333,0.7582,0.1556,1,63,3464,557.0,student,xpress_credit,2268.09,80
USR_1569,0.288,0.5075,0.5,-1.0,0.1558,3.5714,0.7015,0.0202,1,47,10180,,student,xpress_credit,1725.69,100
USR_0825,0.3048,0.452,0.5714,0.781,0.0051,2.3333,0.8465,0.0505,0,19,141301,634.0,self_employed,two_wheeler,13131.94,70
USR_0508,0.3871,0.6805,0.5333,0.2096,0.3207,9.6667,0.7574,0.0779,0,63,132564,,self_employed,xpress_credit,44805.12,50
USR_0890,0.5751,0.6496,1.0,-1.0,0.0329,6.3333,0.8302,0.2881,1,42,3727,721.0,student,xpress_power,498.62,114
USR_0071,0.5276,0.3353,0.75,-1.0,1.0,3.0,0.9715,0.0922,1,28,101362,,self_employed,two_wheeler,46536.22,14
USR_1609,0.2246,0.4191,1.0,-0.891,0.1162,3.1429,0.7889,0.2841,1,32,40874,,salaried,xpress_credit,5126.06,56
USR_1533,0.3234,0.6118,1.0,-1.0,0.2314,5.5,0.6941,0.2727,1,23,11414,,gig_worker,two_wheeler,4767.28,94
USR_0248,0.0915,0.5356,1.0,-0.0677,0.6403,7.0,0.7425,0.0922,0,64,113864,707.0,salaried,xpress_credit,70673.48,30
USR_1451,0.3813,0.8107,0.75,0.0182,0.3109,6.6667,0.6653,0.1799,0,22,21464,,retired,two_wheeler,14626.96,114
USR_0213,0.5154,0.6922,1.0,0.1863,0.1655,7.3333,0.6803,0.1629,0,37,25398,733.0,retired,xpress_power,9781.72,50
USR_0910,0.0,0.4683,1.0,-0.2883,0.0491,4.1667,0.7405,0.3293,0,36,19655,,salaried,xpress_credit,1185.27,23
USR_1742,0.0088,0.2296,1.0,0.448,0.0462,2.6667,0.5,0.0601,0,44,34416,806.0,gig_worker,xpress_credit,2577.75,21
USR_1245,0.4331,0.7894,0.7692,-0.7759,0.6458,9.0,0.676,0.0805,1,70,45801,780.0,retired,xpress_power,27074.08,6
USR_1697,0.3223,0.7471,0.6,-1.0,0.6431,4.3333,0.8531,0.2453,1,68,14047,,farmer,xpress_power,8295.68,109
USR_1183,0.0,0.5073,1.0,0.3227,0.1765,2.0,0.6708,0.0359,0,58,82945,770.0,salaried,two_wheeler,44786.77,27
USR_0362,0.1694,0.5563,1.0,0.1258,0.2662,7.5,0.753,0.046,0,68,150641,,self_employed,two_wheeler,41063.41,108
USR_1474,0.0,0.4779,0.7143,0.3454,0.139,3.8333,0.8472,0.0,0,45,49609,,salaried,xpress_power,14963.8,84
USR_0679,0.3969,0.7119,1.0,-0.5333,0.6527,7.8333,0.7338,0.1193,1,64,34773,564.0,salaried,xpress_credit,18719.39,55
USR_1622,0.8398,0.668,1.0,0.5369,0.2139,7.8333,0.7689,0.0677,0,23,135355,,salaried,two_wheeler,35253.19,87
USR_1090,0.0,0.5423,1.0,0.259,0.283,4.6667,0.7938,0.0632,0,30,105570,,salaried,two_wheeler,34273.36,77
USR_1988,0.1333,0.2944,0.6667,-0.5458,0.7732,1.8333,0.7882,0.0517,1,29,108676,844.0,salaried,two_wheeler,57033.53,12
USR_1848,0.5087,0.7341,1.0,-1.0,0.0844,5.0,0.6965,0.2747,0,65,11433,,student,xpress_credit,1533.14,4
USR_0988,0.0,0.3461,1.0,-1.0,1.0,3.8571,0.7297,0.1403,1,41,118693,757.0,salaried,xpress_power,54831.32,24
USR_1513,0.4579,0.442,0.8571,-0.63,0.0554,7.1667,0.6491,0.3007,0,22,10631,788.0,gig_worker,xpress_power,728.19,85
USR_0112,0.0,0.514,0.7143,-0.4021,0.3668,5.8571,0.758,0.1558,1,23,32519,706.0,gig_worker,xpress_power,12097.89,94
USR_1488,0.3431,0.3694,0.5833,0.4403,0.2945,9.8333,0.7469,0.0805,0,63,128458,588.0,self_employed,xpress_credit,69643.23,4
USR_1454,0.0,0.4727,0.5714,0.1193,0.4523,7.3333,0.7186,0.0754,0,54,103899,628.0,self_employed,xpress_credit,48171.97,74
USR_0384,0.935,0.4628,0.75,-0.2661,0.2611,4.1667,0.8532,0.1006,0,53,34163,563.0,gig_worker,xpress_credit,11993.34,110
USR_1396,0.5115,0.74,0.7895,0.4355,0.0909,9.0,0.7603,0.1569,0,28,45183,,self_employed,two_wheeler,7094.08,54
USR_1055,0.2141,0.5513,0.8889,-0.4853,0.069,6.0,0.7053,0.174,0,40,9361,565.0,student,xpress_credit,892.76,57
USR_0756,0.0775,0.6777,1.0,0.3165,0.1275,5.6667,0.7207,0.0772,0,51,61900,,salaried,xpress_credit,9717.65,54
USR_0325,0.138,0.453,0.8889,0.1128,0.2402,7.0,0.7097,0.0879,0,63,43160,801.0,retired,two_wheeler,20813.49,82
USR_1624,0.5714,0.4155,1.0,-1.0,0.1161,2.8333,0.808,0.2435,0,48,7248,678.0,student,two_wheeler,2263.7,74
USR_0788,0.4207,0.6047,0.5714,0.7823,0.0637,3.5,0.5,0.1098,0,20,129020,721.0,self_employed,xpress_power,13744.32,85
USR_0369,0.233,0.583,1.0,-0.216,0.3547,6.0,0.6696,0.1015,0,53,87805,,salaried,xpress_credit,33570.4,115
