user_id,age,employment_type,loan_type,monthly_income,cibil_score,existing_emi,account_age_months,state
USR_0001,56,gig_worker,xpress_credit,37802,,5723.68,83,UP
USR_0002,40,salaried,two_wheeler,102498,699.0,8883.25,88,AP
USR_0003,61,salaried,xpress_power,79925,571.0,4363.35,89,MH
USR_0004,66,salaried,two_wheeler,99478,,44959.17,108,AP
USR_0005,69,salaried,two_wheeler,46551,,7487.29,39,GJ
USR_0006,35,salaried,two_wheeler,23792,641.0,7996.47,71,TN
USR_0007,61,student,xpress_credit,6152,,2956.89,2,WB
USR_0008,23,salaried,xpress_credit,93953,,32163.89,74,WB
USR_0009,53,salaried,xpress_power,26534,845.0,15892.46,109,WB
USR_0010,35,gig_worker,xpress_credit,29271,,6714.75,29,AP
USR_0011,32,salaried,xpress_power,129752,612.0,75262.64,81,DL
USR_0012,25,student,two_wheeler,8892,,5732.88,73,WB
USR_0013,25,self_employed,two_wheeler,62256,842.0,32637.34,104,UP
USR_0014,39,student,xpress_credit,11110,,5767.47,119,MH
USR_0015,31,salaried,xpress_power,105982,,7050.18,77,WB
USR_0016,68,salaried,xpress_power,65015,771.0,9138.86,103,DL
USR_0017,62,gig_worker,two_wheeler,35890,,16359.74,62,KL
USR_0018,70,gig_worker,two_wheeler,21931,,13687.84,119,KA
USR_0019,45,self_employed,xpress_power,135117,,33523.58,70,AP
USR_0020,25,salaried,xpress_power,134101,,34877.24,96,TN
USR_0021,41,salaried,xpress_credit,83840,,56641.53,39,GJ
USR_0022,19,salaried,xpress_credit,82172,,26062.83,87,KL
USR_0023,54,retired,xpress_power,31556,767.0,21794.87,32,RJ
USR_0024,21,salaried,two_wheeler,113506,647.0,52416.43,11,DL
USR_0025,65,salaried,two_wheeler,37671,,18921.33,3,DL
USR_0026,37,gig_worker,xpress_power,22243,,6153.15,71,GJ
USR_0027,69,salaried,xpress_credit,99896,816.0,27141.06,89,MH
USR_0028,67,student,xpress_credit,14561,801.0,2383.94,112,KA
USR_0029,69,student,xpress_power,8423,,5350.89,119,GJ
USR_0030,26,salaried,xpress_power,22400,701.0,7009.64,33,AP
USR_0031,41,retired,xpress_credit,58354,,38577.06,25,MH
USR_0032,46,gig_worker,two_wheeler,19969,,1233.07,14,WB
USR_0033,38,salaried,xpress_power,73871,582.0,29744.24,59,TN
USR_0034,68,farmer,two_wheeler,19565,600.0,12322.63,27,AP
USR_0035,44,student,two_wheeler,10022,,1772.97,61,DL
USR_0036,65,student,two_wheeler,14312,,9967.7,30,KA
USR_0037,46,salaried,xpress_credit,97989,730.0,41350.39,60,AP
USR_0038,50,retired,two_wheeler,45743,710.0,11710.18,18,TN
USR_0039,42,salaried,xpress_power,118746,,33619.42,27,DL
USR_0040,59,salaried,xpress_credit,120864,,29337.51,26,MH
USR_0041,52,salaried,xpress_power,44592,,16765.95,45,AP
USR_0042,37,student,xpress_credit,11173,,7022.27,87,AP
USR_0043,32,salaried,two_wheeler,47097,,18966.86,22,GJ
USR_0044,39,farmer,two_wheeler,20338,,2696.6,97,UP
USR_0045,25,gig_worker,xpress_power,24388,,2038.67,116,WB
USR_0046,47,self_employed,two_wheeler,104476,696.0,59224.42,63,UP
USR_0047,36,salaried,xpress_power,43251,828.0,14203.82,12,AP
USR_0048,70,salaried,xpress_credit,131352,667.0,67578.94,104,TN
USR_0049,62,salaried,xpress_credit,129548,,43163.76,93,MH
USR_0050,20,self_employed,xpress_power,79042,,6315.59,113,UP
USR_0051,47,self_employed,two_wheeler,170196,,62895.99,39,KL
USR_0052,53,self_employed,xpress_credit,69101,,46086.55,100,GJ
USR_0053,51,salaried,xpress_credit,141131,,85626.77,69,WB
USR_0054,62,self_employed,xpress_power,61991,,26702.88,91,TN
USR_0055,37,gig_worker,two_wheeler,34144,650.0,15599.05,65,GJ
USR_0056,50,gig_worker,xpress_credit,32107,644.0,9478.58,115,UP
USR_0057,67,self_employed,xpress_credit,37350,639.0,10137.01,115,DL
USR_0058,58,self_employed,xpress_credit,13267,766.0,7592.21,36,AP
USR_0059,27,salaried,two_wheeler,53756,,17105.24,82,TN
USR_0060,66,farmer,xpress_credit,15518,766.0,3178.92,30,RJ
USR_0061,34,self_employed,xpress_power,24397,,7391.83,12,KA
USR_0062,58,salaried,xpress_power,74163,618.0,17842.65,25,RJ
USR_0063,69,salaried,two_wheeler,102508,,11202.48,42,AP
USR_0064,56,gig_worker,xpress_power,12729,770.0,3539.87,18,DL
USR_0065,64,salaried,xpress_credit,16542,,8420.83,5,AP
USR_0066,46,salaried,xpress_power,69693,694.0,46395.44,89,KL
USR_0067,62,self_employed,two_wheeler,176981,731.0,89960.3,74,AP
USR_0068,43,salaried,xpress_credit,30485,675.0,2639.91,92,MH
USR_0069,25,gig_worker,xpress_credit,14530,740.0,5238.28,25,KL
USR_0070,50,salaried,two_wheeler,118333,698.0,9254.88,85,MH
USR_0071,28,self_employed,two_wheeler,101362,,46536.22,14,WB
USR_0072,32,farmer,xpress_credit,8330,,5295.82,57,WB
USR_0073,28,salaried,xpress_power,93859,705.0,25171.02,92,DL
USR_0074,53,self_employed,xpress_credit,112023,769.0,31839.66,100,KL
USR_0075,44,farmer,xpress_credit,22308,595.0,2220.32,6,UP
USR_0076,35,self_employed,xpress_credit,59407,,38987.24,114,MH
USR_0077,62,retired,xpress_power,18415,726.0,5430.22,26,RJ
USR_0078,42,student,two_wheeler,7784,647.0,575.5,1,AP
USR_0079,38,salaried,two_wheeler,27763,572.0,15265.26,37,MH
USR_0080,27,farmer,xpress_credit,29323,837.0,2359.99,95,MH
USR_0081,25,gig_worker,xpress_credit,24633,817.0,14303.17,108,KL
USR_0082,22,salaried,xpress_power,140917,804.0,9682.23,79,DL
USR_0083,54,self_employed,xpress_power,87709,,60282.46,50,TN
USR_0084,51,salaried,xpress_power,40934,,14044.12,79,TN
USR_0085,47,salaried,xpress_credit,85390,,29764.86,17,DL
USR_0086,27,salaried,xpress_power,34963,,12943.36,77,GJ
